TIPO_AGENTE,IDIOMA.DEL.ESTANDARIZADO.COMPLETO,GRUPO_EDITORIAL_COMPLETO,SUBCATEGORIA.DEWEY,ANO,PAIS,CANTIDAD_REGISTROS
EDITORIAL COMERCIAL,ALEMÁN,CAMILA MEDEIROS HOCHMULLER ABADIE 99625679049,800 - LITERATURA Y RETÓRICA: GENERAL,2019,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,CARAL EDITORES E.I.R.L.,080 - COLECCIONES GENERALES,2021,PERÚ,1.0
EDITORIAL COMERCIAL,ALEMÁN,CARAL EDITORES E.I.R.L.,800 - LITERATURA Y RETÓRICA: GENERAL,2023,PERÚ,1.0
EDITORIAL COMERCIAL,ALEMÁN,CARAL EDITORES E.I.R.L.,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2024,PERÚ,1.0
EDITORIAL COMERCIAL,ALEMÁN,CARBON LIBROS EDICIONES,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2024,CHILE,1.0
EDITORIAL COMERCIAL,ALEMÁN,CARLOS RAFAEL LONGO DE SOUZA - ME,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2013,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,CASA CARTON PERU E.I.R.L.,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2023,PERÚ,1.0
EDITORIAL COMERCIAL,ALEMÁN,CASA DA PALAVRA PRODUCAO EDITORIAL LTDA - ME,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2013,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,CASA DA PALAVRA PRODUCAO EDITORIAL LTDA - ME,890 - LITERATURAS DE OTRAS LENGUAS,2015,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,CASCAHUESOS EDITORES S.A.C.,840 - LITERATURA DE LAS LENGUAS ROMANCES,2019,PERÚ,1.0
EDITORIAL COMERCIAL,ALEMÁN,CEDET - CENTRO DE DESENVOLVIMENTO PROFISSIONAL E TECNOLOGICO LTDA.,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2016,BRASIL,1.0
