PAIS,ANO,DECILE_LABEL,DECILE_ORDER,PROMEDIO_REGISTROS,CANTIDAD_EDITORIALES
BRASIL,2024,40% - 50%,5,3.47,15
BRASIL,2024,50% - 60%,6,2.0,15
BRASIL,2024,60% - 70%,7,1.67,15
BRASIL,2024,70% - 80%,8,1.0,15
BRASIL,2024,80% - 90%,9,1.0,15
BRASIL,2024,90% - 100%,10,1.0,15
BRASIL,TODOS,Top 10%,1,197.08,193
BRASIL,TODOS,10% - 20%,2,22.44,193
BRASIL,TODOS,20% - 30%,3,10.43,193
BRASIL,TODOS,30% - 40%,4,6.02,193
BRASIL,TODOS,40% - 50%,5,3.76,192
BRASIL,TODOS,50% - 60%,6,2.51,192
BRASIL,TODOS,60% - 70%,7,2.0,192
BRASIL,TODOS,70% - 80%,8,1.02,192
BRASIL,TODOS,80% - 90%,9,1.0,192
BRASIL,TODOS,90% - 100%,10,1.0,192
CHILE,2010,Top 10%,1,31.33,3
CHILE,2010,10% - 20%,2,4.33,3
CHILE,2010,20% - 30%,3,3.67,3
CHILE,2010,30% - 40%,4,2.0,3
CHILE,2010,40% - 50%,5,1.5,2
CHILE,2010,50% - 60%,6,1.0,2
CHILE,2010,60% - 70%,7,1.0,2
CHILE,2010,70% - 80%,8,1.0,2
CHILE,2010,80% - 90%,9,1.0,2
CHILE,2010,90% - 100%,10,1.0,2
CHILE,2011,Top 10%,1,16.67,3
CHILE,2011,10% - 20%,2,4.67,3
CHILE,2011,20% - 30%,3,2.33,3
CHILE,2011,30% - 40%,4,2.0,3
CHILE,2011,40% - 50%,5,1.33,3
CHILE,2011,50% - 60%,6,1.0,3
CHILE,2011,60% - 70%,7,1.0,2
CHILE,2011,70% - 80%,8,1.0,2
CHILE,2011,80% - 90%,9,1.0,2
CHILE,2011,90% - 100%,10,1.0,2
CHILE,2012,Top 10%,1,12.0,3
CHILE,2012,10% - 20%,2,3.67,3
CHILE,2012,20% - 30%,3,2.0,3
CHILE,2012,30% - 40%,4,1.33,3
CHILE,2012,40% - 50%,5,1.0,3
CHILE,2012,50% - 60%,6,1.0,2
CHILE,2012,60% - 70%,7,1.0,2
CHILE,2012,70% - 80%,8,1.0,2
CHILE,2012,80% - 90%,9,1.0,2
CHILE,2012,90% - 100%,10,1.0,2
CHILE,2013,Top 10%,1,11.0,4
CHILE,2013,10% - 20%,2,5.25,4
CHILE,2013,20% - 30%,3,3.0,3
CHILE,2013,30% - 40%,4,2.0,3
CHILE,2013,40% - 50%,5,1.33,3
CHILE,2013,50% - 60%,6,1.0,3
CHILE,2013,60% - 70%,7,1.0,3
CHILE,2013,70% - 80%,8,1.0,3
CHILE,2013,80% - 90%,9,1.0,3
CHILE,2013,90% - 100%,10,1.0,3
CHILE,2014,Top 10%,1,6.67,3
CHILE,2014,10% - 20%,2,4.67,3
CHILE,2014,20% - 30%,3,3.33,3
CHILE,2014,30% - 40%,4,3.0,3
CHILE,2014,40% - 50%,5,2.0,3
CHILE,2014,50% - 60%,6,1.0,3
CHILE,2014,60% - 70%,7,1.0,3
CHILE,2014,70% - 80%,8,1.0,3
CHILE,2014,80% - 90%,9,1.0,3
CHILE,2014,90% - 100%,10,1.0,2
CHILE,2015,Top 10%,1,12.67,3
CHILE,2015,10% - 20%,2,6.33,3
CHILE,2015,20% - 30%,3,5.0,3
CHILE,2015,30% - 40%,4,2.33,3
CHILE,2015,40% - 50%,5,2.0,3
CHILE,2015,50% - 60%,6,2.0,3
CHILE,2015,60% - 70%,7,1.0,3
CHILE,2015,70% - 80%,8,1.0,3
CHILE,2015,80% - 90%,9,1.0,3
CHILE,2015,90% - 100%,10,1.0,2
CHILE,2016,Top 10%,1,9.6,5
CHILE,2016,10% - 20%,2,5.8,5
CHILE,2016,20% - 30%,3,2.6,5
CHILE,2016,30% - 40%,4,2.0,5
CHILE,2016,40% - 50%,5,1.2,5
CHILE,2016,50% - 60%,6,1.0,5
CHILE,2016,60% - 70%,7,1.0,4
CHILE,2016,70% - 80%,8,1.0,4
CHILE,2016,80% - 90%,9,1.0,4
CHILE,2016,90% - 100%,10,1.0,4
CHILE,2017,Top 10%,1,20.25,4
CHILE,2017,10% - 20%,2,8.25,4
CHILE,2017,20% - 30%,3,4.0,4
CHILE,2017,30% - 40%,4,2.75,4
CHILE,2017,40% - 50%,5,2.0,4
CHILE,2017,50% - 60%,6,1.75,4
CHILE,2017,60% - 70%,7,1.0,4
CHILE,2017,70% - 80%,8,1.0,4
CHILE,2017,80% - 90%,9,1.0,4
CHILE,2017,90% - 100%,10,1.0,3
CHILE,2018,Top 10%,1,13.86,7
CHILE,2018,10% - 20%,2,5.43,7
CHILE,2018,20% - 30%,3,3.0,7
CHILE,2018,30% - 40%,4,2.0,7
CHILE,2018,40% - 50%,5,1.43,7
CHILE,2018,50% - 60%,6,1.0,7
CHILE,2018,60% - 70%,7,1.0,6
CHILE,2018,70% - 80%,8,1.0,6
CHILE,2018,80% - 90%,9,1.0,6
CHILE,2018,90% - 100%,10,1.0,6
CHILE,2019,Top 10%,1,5.0,3
CHILE,2019,10% - 20%,2,2.0,3
CHILE,2019,20% - 30%,3,2.0,3
CHILE,2019,30% - 40%,4,1.0,3
CHILE,2019,40% - 50%,5,1.0,3
CHILE,2019,50% - 60%,6,1.0,3
CHILE,2019,60% - 70%,7,1.0,3
CHILE,2019,70% - 80%,8,1.0,3
CHILE,2019,80% - 90%,9,1.0,3
CHILE,2019,90% - 100%,10,1.0,3
CHILE,2020,Top 10%,1,15.17,6
CHILE,2020,10% - 20%,2,5.17,6
CHILE,2020,20% - 30%,3,2.67,6
CHILE,2020,30% - 40%,4,2.0,6
CHILE,2020,40% - 50%,5,1.67,6
CHILE,2020,50% - 60%,6,1.0,6
CHILE,2020,60% - 70%,7,1.0,5
CHILE,2020,70% - 80%,8,1.0,5
CHILE,2020,80% - 90%,9,1.0,5
CHILE,2020,90% - 100%,10,1.0,5
CHILE,2021,Top 10%,1,16.17,6
CHILE,2021,10% - 20%,2,4.33,6
CHILE,2021,20% - 30%,3,2.17,6
CHILE,2021,30% - 40%,4,1.83,6
CHILE,2021,40% - 50%,5,1.0,6
CHILE,2021,50% - 60%,6,1.0,6
CHILE,2021,60% - 70%,7,1.0,6
CHILE,2021,70% - 80%,8,1.0,6
CHILE,2021,80% - 90%,9,1.0,6
CHILE,2021,90% - 100%,10,1.0,5
CHILE,2022,Top 10%,1,14.33,6
CHILE,2022,10% - 20%,2,5.33,6
CHILE,2022,20% - 30%,3,4.0,6
CHILE,2022,30% - 40%,4,2.83,6
CHILE,2022,40% - 50%,5,1.83,6
CHILE,2022,50% - 60%,6,1.0,6
CHILE,2022,60% - 70%,7,1.0,6
CHILE,2022,70% - 80%,8,1.0,6
CHILE,2022,80% - 90%,9,1.0,6
CHILE,2022,90% - 100%,10,1.0,6
CHILE,2023,Top 10%,1,27.0,6
CHILE,2023,10% - 20%,2,5.6,5
CHILE,2023,20% - 30%,3,3.2,5
CHILE,2023,30% - 40%,4,2.4,5
CHILE,2023,40% - 50%,5,2.0,5
CHILE,2023,50% - 60%,6,1.8,5
CHILE,2023,60% - 70%,7,1.0,5
CHILE,2023,70% - 80%,8,1.0,5
CHILE,2023,80% - 90%,9,1.0,5
CHILE,2023,90% - 100%,10,1.0,5
CHILE,2024,Top 10%,1,26.86,7
CHILE,2024,10% - 20%,2,5.0,7
CHILE,2024,20% - 30%,3,2.86,7
CHILE,2024,30% - 40%,4,2.0,7
CHILE,2024,40% - 50%,5,1.29,7
CHILE,2024,50% - 60%,6,1.0,7
CHILE,2024,60% - 70%,7,1.0,7
CHILE,2024,70% - 80%,8,1.0,7
CHILE,2024,80% - 90%,9,1.0,7
CHILE,2024,90% - 100%,10,1.0,6
CHILE,TODOS,Top 10%,1,65.43,23
CHILE,TODOS,10% - 20%,2,13.65,23
CHILE,TODOS,20% - 30%,3,6.36,22
CHILE,TODOS,30% - 40%,4,4.09,22
CHILE,TODOS,40% - 50%,5,2.86,22
CHILE,TODOS,50% - 60%,6,2.0,22
CHILE,TODOS,60% - 70%,7,1.5,22
CHILE,TODOS,70% - 80%,8,1.0,22
CHILE,TODOS,80% - 90%,9,1.0,22
CHILE,TODOS,90% - 100%,10,1.0,22
COLOMBIA,2010,Top 10%,1,78.33,3
