GRUPO_EDITORIAL_COMPLETO,TIPO_AGENTE,PAIS,ANO,SUBCATEGORIA.DEWEY,CANTIDAD_REGISTROS
GUERRA MORENO JESUS FRANCISCO,EDITORIAL COMERCIAL,MÉXICO,2018,800 - LITERATURA Y RETÓRICA: GENERAL,11.0
"GUITARRA PARTIDA EDICIONES, SAS",EDITORIAL COMERCIAL,COLOMBIA,2020,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,1.0
GULLIVER EDITORA LTDA,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
GULLIVER EDITORA LTDA,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,5.0
GUMERCINDO ROCHA DOREA-ME,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
GUSTAVO REGINATO,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,4.0
GUSTAVO TOMAZIN BORTOLUCCI,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,14.0
GUTENBERG,EDITORIAL COMERCIAL,BRASIL,2022,820 - LITERATURA INGLESA E INGLESA ANTIGUA,4.0
GUTENBERG,EDITORIAL COMERCIAL,BRASIL,2023,820 - LITERATURA INGLESA E INGLESA ANTIGUA,20.0
GUTENBERG,EDITORIAL COMERCIAL,BRASIL,2023,840 - LITERATURA DE LAS LENGUAS ROMANCES,2.0
GUTENBERG,EDITORIAL COMERCIAL,BRASIL,2023,890 - LITERATURAS DE OTRAS LENGUAS,2.0
GUTENBERG,EDITORIAL COMERCIAL,BRASIL,2024,810 - LITERATURA AMERICANA EN INGLÉS,1.0
GUTENBERG,EDITORIAL COMERCIAL,BRASIL,2024,820 - LITERATURA INGLESA E INGLESA ANTIGUA,32.0
GUTENBERG,EDITORIAL COMERCIAL,BRASIL,2024,840 - LITERATURA DE LAS LENGUAS ROMANCES,4.0
GUTENBERG,EDITORIAL COMERCIAL,BRASIL,2024,890 - LITERATURAS DE OTRAS LENGUAS,6.0
"GUTIERREZ RAMIREZ, ALFREDO",EDITORIAL COMERCIAL,MÉXICO,2010,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
"GUTIERREZ RAMIREZ, ALFREDO",EDITORIAL COMERCIAL,MÉXICO,2016,820 - LITERATURA INGLESA E INGLESA ANTIGUA,1.0
"GUTIERREZ RAMIREZ, ALFREDO",EDITORIAL COMERCIAL,MÉXICO,2022,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
GUXURUMBU,EDITORIAL COMERCIAL,MÉXICO,2011,840 - LITERATURA DE LAS LENGUAS ROMANCES,1.0
H. EDITORES,EDITORIAL COMERCIAL,URUGUAY,2014,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
HACHETTE EDITORIAL MEXICO,EDITORIAL COMERCIAL,MÉXICO,2025,820 - LITERATURA INGLESA E INGLESA ANTIGUA,83.0
HACHETTE EDITORIAL MEXICO,EDITORIAL COMERCIAL,MÉXICO,2025,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,7.0
HACHETTE EDITORIAL MEXICO,EDITORIAL COMERCIAL,MÉXICO,2025,840 - LITERATURA DE LAS LENGUAS ROMANCES,12.0
HACHETTE EDITORIAL MEXICO,EDITORIAL COMERCIAL,MÉXICO,2025,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",7.0
HACHETTE EDITORIAL MEXICO,EDITORIAL COMERCIAL,MÉXICO,2025,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2.0
HACHETTE EDITORIAL MEXICO,EDITORIAL COMERCIAL,MÉXICO,2025,890 - LITERATURAS DE OTRAS LENGUAS,15.0
HALEY CALDAS MARTINS BARBOSA,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2.0
HALEY CALDAS MARTINS BARBOSA,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,12.0
HANABI EDITORA EIRELI - ME,EDITORIAL COMERCIAL,BRASIL,2014,810 - LITERATURA AMERICANA EN INGLÉS,1.0
HAPPY BOOKS,EDITORIAL COMERCIAL,BRASIL,2023,800 - LITERATURA Y RETÓRICA: GENERAL,4.0
HAPPY BOOKS COMERCIO E EDITORA LTDA - ME,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
HARLEQUIN,EDITORIAL COMERCIAL,BRASIL,2021,800 - LITERATURA Y RETÓRICA: GENERAL,87.0
HARLEQUIN,EDITORIAL COMERCIAL,BRASIL,2022,800 - LITERATURA Y RETÓRICA: GENERAL,29.0
HARLEQUIN,EDITORIAL COMERCIAL,BRASIL,2022,820 - LITERATURA INGLESA E INGLESA ANTIGUA,1913.0
HARLEQUIN,EDITORIAL COMERCIAL,BRASIL,2023,800 - LITERATURA Y RETÓRICA: GENERAL,90.0
HARLEQUIN,EDITORIAL COMERCIAL,BRASIL,2023,820 - LITERATURA INGLESA E INGLESA ANTIGUA,470.0
HARLEQUIN,EDITORIAL COMERCIAL,BRASIL,2024,800 - LITERATURA Y RETÓRICA: GENERAL,24.0
HARPERCOLLINS BRASIL,EDITORIAL COMERCIAL,BRASIL,2020,800 - LITERATURA Y RETÓRICA: GENERAL,6.0
HARPERCOLLINS BRASIL,EDITORIAL COMERCIAL,BRASIL,2020,810 - LITERATURA AMERICANA EN INGLÉS,9.0
HARPERCOLLINS BRASIL,EDITORIAL COMERCIAL,BRASIL,2020,820 - LITERATURA INGLESA E INGLESA ANTIGUA,10.0
HARPERCOLLINS BRASIL,EDITORIAL COMERCIAL,BRASIL,2020,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",2.0
HARPERCOLLINS BRASIL,EDITORIAL COMERCIAL,BRASIL,2021,800 - LITERATURA Y RETÓRICA: GENERAL,8.0
HARPERCOLLINS BRASIL,EDITORIAL COMERCIAL,BRASIL,2021,810 - LITERATURA AMERICANA EN INGLÉS,50.0
HARPERCOLLINS BRASIL,EDITORIAL COMERCIAL,BRASIL,2021,820 - LITERATURA INGLESA E INGLESA ANTIGUA,47.0
HARPERCOLLINS BRASIL,EDITORIAL COMERCIAL,BRASIL,2022,800 - LITERATURA Y RETÓRICA: GENERAL,9.0
HARPERCOLLINS BRASIL,EDITORIAL COMERCIAL,BRASIL,2022,810 - LITERATURA AMERICANA EN INGLÉS,40.0
HARPERCOLLINS BRASIL,EDITORIAL COMERCIAL,BRASIL,2022,820 - LITERATURA INGLESA E INGLESA ANTIGUA,21.0
HARPERCOLLINS BRASIL,EDITORIAL COMERCIAL,BRASIL,2022,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",2.0
HARPERCOLLINS BRASIL,EDITORIAL COMERCIAL,BRASIL,2022,890 - LITERATURAS DE OTRAS LENGUAS,3.0
HARPERCOLLINS BRASIL,EDITORIAL COMERCIAL,BRASIL,2023,800 - LITERATURA Y RETÓRICA: GENERAL,4.0
HARPERCOLLINS BRASIL,EDITORIAL COMERCIAL,BRASIL,2023,810 - LITERATURA AMERICANA EN INGLÉS,20.0
HARPERCOLLINS BRASIL,EDITORIAL COMERCIAL,BRASIL,2023,820 - LITERATURA INGLESA E INGLESA ANTIGUA,10.0
HARPERCOLLINS BRASIL,EDITORIAL COMERCIAL,BRASIL,2023,840 - LITERATURA DE LAS LENGUAS ROMANCES,1.0
HARPERCOLLINS BRASIL,EDITORIAL COMERCIAL,BRASIL,2023,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",2.0
HARPERCOLLINS BRASIL,EDITORIAL COMERCIAL,BRASIL,2023,890 - LITERATURAS DE OTRAS LENGUAS,1.0
HARPERCOLLINS BRASIL,EDITORIAL COMERCIAL,BRASIL,2024,800 - LITERATURA Y RETÓRICA: GENERAL,2.0
HARPERCOLLINS BRASIL,EDITORIAL COMERCIAL,BRASIL,2024,810 - LITERATURA AMERICANA EN INGLÉS,16.0
HARPERCOLLINS BRASIL,EDITORIAL COMERCIAL,BRASIL,2024,820 - LITERATURA INGLESA E INGLESA ANTIGUA,17.0
HARPERCOLLINS BRASIL,EDITORIAL COMERCIAL,BRASIL,2024,890 - LITERATURAS DE OTRAS LENGUAS,1.0
HARPERCOLLINS MEXICO,EDITORIAL COMERCIAL,MÉXICO,2017,820 - LITERATURA INGLESA E INGLESA ANTIGUA,9.0
HARPERCOLLINS MEXICO,EDITORIAL COMERCIAL,MÉXICO,2017,840 - LITERATURA DE LAS LENGUAS ROMANCES,1.0
HARPERCOLLINS MEXICO,EDITORIAL COMERCIAL,MÉXICO,2017,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",1.0
HARPERCOLLINS MEXICO,EDITORIAL COMERCIAL,MÉXICO,2017,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
HARPERCOLLINS MEXICO,EDITORIAL COMERCIAL,MÉXICO,2018,800 - LITERATURA Y RETÓRICA: GENERAL,3.0
HARPERCOLLINS MEXICO,EDITORIAL COMERCIAL,MÉXICO,2018,820 - LITERATURA INGLESA E INGLESA ANTIGUA,12.0
HARPERCOLLINS MEXICO,EDITORIAL COMERCIAL,MÉXICO,2018,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",2.0
HARPERCOLLINS MEXICO,EDITORIAL COMERCIAL,MÉXICO,2019,820 - LITERATURA INGLESA E INGLESA ANTIGUA,11.0
HARPERCOLLINS MEXICO,EDITORIAL COMERCIAL,MÉXICO,2019,840 - LITERATURA DE LAS LENGUAS ROMANCES,1.0
HARPERCOLLINS MEXICO,EDITORIAL COMERCIAL,MÉXICO,2019,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",2.0
HARPERCOLLINS MEXICO,EDITORIAL COMERCIAL,MÉXICO,2019,890 - LITERATURAS DE OTRAS LENGUAS,2.0
HARPERCOLLINS MEXICO,EDITORIAL COMERCIAL,MÉXICO,2020,820 - LITERATURA INGLESA E INGLESA ANTIGUA,4.0
HARPERCOLLINS MEXICO,EDITORIAL COMERCIAL,MÉXICO,2020,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",1.0
HARPERCOLLINS MEXICO,EDITORIAL COMERCIAL,MÉXICO,2021,820 - LITERATURA INGLESA E INGLESA ANTIGUA,16.0
HARPERCOLLINS MEXICO,EDITORIAL COMERCIAL,MÉXICO,2022,800 - LITERATURA Y RETÓRICA: GENERAL,3.0
HARPERCOLLINS MEXICO,EDITORIAL COMERCIAL,MÉXICO,2022,820 - LITERATURA INGLESA E INGLESA ANTIGUA,12.0
HARPERCOLLINS MEXICO,EDITORIAL COMERCIAL,MÉXICO,2023,800 - LITERATURA Y RETÓRICA: GENERAL,8.0
HARPERCOLLINS MEXICO,EDITORIAL COMERCIAL,MÉXICO,2023,820 - LITERATURA INGLESA E INGLESA ANTIGUA,7.0
HARPERKIDS,EDITORIAL COMERCIAL,BRASIL,2022,800 - LITERATURA Y RETÓRICA: GENERAL,5.0
HARPERKIDS,EDITORIAL COMERCIAL,BRASIL,2022,820 - LITERATURA INGLESA E INGLESA ANTIGUA,1.0
HARPERKIDS,EDITORIAL COMERCIAL,BRASIL,2023,890 - LITERATURAS DE OTRAS LENGUAS,1.0
HARPERKIDS,EDITORIAL COMERCIAL,BRASIL,2024,800 - LITERATURA Y RETÓRICA: GENERAL,16.0
HARPERKIDS,EDITORIAL COMERCIAL,BRASIL,2024,840 - LITERATURA DE LAS LENGUAS ROMANCES,1.0
HASTINGS GARCIA ISADORA,EDITORIAL COMERCIAL,MÉXICO,2022,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
HEDRA EDUCACAO LTDA,EDITORIAL COMERCIAL,BRASIL,2013,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
HEDRA EDUCACAO LTDA,EDITORIAL COMERCIAL,BRASIL,2014,890 - LITERATURAS DE OTRAS LENGUAS,1.0
"HEIZER, DORA ELISA",EDITORIAL COMERCIAL,ARGENTINA,2013,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,1.0
HELIASTA,EDITORIAL COMERCIAL,ARGENTINA,2012,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,1.0
HELIO MARTIUS DIAS DA CRUZ GONCALVES,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
HERALDOS EDITORES S.A.C.,EDITORIAL COMERCIAL,PERÚ,2021,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
HERALDOS EDITORES S.A.C.,EDITORIAL COMERCIAL,PERÚ,2023,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
HERBONATURAL DO BRASIL LTDA ME,EDITORIAL COMERCIAL,BRASIL,2015,890 - LITERATURAS DE OTRAS LENGUAS,1.0
HERBONATURAL DO BRASIL LTDA ME,EDITORIAL COMERCIAL,BRASIL,2016,890 - LITERATURAS DE OTRAS LENGUAS,1.0
HERMANN BAUMGARTEN EDITORA LTDA,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
"HERNANDEZ ARBELAEZ, IVAN / FRAILEJON EDITORES",EDITORIAL COMERCIAL,COLOMBIA,2012,800 - LITERATURA Y RETÓRICA: GENERAL,3.0
"HERNANDEZ ARBELAEZ, IVAN / FRAILEJON EDITORES",EDITORIAL COMERCIAL,COLOMBIA,2013,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
"HERNANDEZ ARBELAEZ, IVAN / FRAILEJON EDITORES",EDITORIAL COMERCIAL,COLOMBIA,2014,840 - LITERATURA DE LAS LENGUAS ROMANCES,3.0
"HERNANDEZ ARBELAEZ, IVAN / FRAILEJON EDITORES",EDITORIAL COMERCIAL,COLOMBIA,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
"HERNANDEZ ARBELAEZ, IVAN / FRAILEJON EDITORES",EDITORIAL COMERCIAL,COLOMBIA,2014,880 - LITERATURAS GRIEGAS CLÁSICAS Y MODERNAS,1.0
"HERNANDEZ ARBELAEZ, IVAN / FRAILEJON EDITORES",EDITORIAL COMERCIAL,COLOMBIA,2014,890 - LITERATURAS DE OTRAS LENGUAS,2.0
"HERNANDEZ ARBELAEZ, IVAN / FRAILEJON EDITORES",EDITORIAL COMERCIAL,COLOMBIA,2015,820 - LITERATURA INGLESA E INGLESA ANTIGUA,2.0
"HERNANDEZ ARBELAEZ, IVAN / FRAILEJON EDITORES",EDITORIAL COMERCIAL,COLOMBIA,2015,840 - LITERATURA DE LAS LENGUAS ROMANCES,1.0
"HERNANDEZ ARBELAEZ, IVAN / FRAILEJON EDITORES",EDITORIAL COMERCIAL,COLOMBIA,2016,890 - LITERATURAS DE OTRAS LENGUAS,1.0
"HERNANDEZ ARBELAEZ, IVAN / FRAILEJON EDITORES",EDITORIAL COMERCIAL,COLOMBIA,2017,820 - LITERATURA INGLESA E INGLESA ANTIGUA,1.0
"HERNANDEZ ARBELAEZ, IVAN / FRAILEJON EDITORES",EDITORIAL COMERCIAL,COLOMBIA,2017,890 - LITERATURAS DE OTRAS LENGUAS,1.0
"HERNANDEZ ARBELAEZ, IVAN / FRAILEJON EDITORES",EDITORIAL COMERCIAL,COLOMBIA,2018,820 - LITERATURA INGLESA E INGLESA ANTIGUA,1.0
HIBRIDA PRODUCOES ARTISTICAS LTDA - ME,EDITORIAL COMERCIAL,BRASIL,2011,SIN DATO,1.0
HISPAMER,EDITORIAL COMERCIAL,NICARAGUA,2016,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
HN DIGITAL SERVICOS DE COMUNICACAO E EDICAO LTDA,EDITORIAL COMERCIAL,BRASIL,2014,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
HN DIGITAL SERVICOS DE COMUNICACAO E EDICAO LTDA,EDITORIAL COMERCIAL,BRASIL,2014,890 - LITERATURAS DE OTRAS LENGUAS,2.0
HOBLICUA PRODUCAO CINEMATOGRAFICA E EDITORA LTDA.,EDITORIAL COMERCIAL,BRASIL,2017,820 - LITERATURA INGLESA E INGLESA ANTIGUA,1.0
HOBLICUA PRODUCAO CINEMATOGRAFICA E EDITORA LTDA.,EDITORIAL COMERCIAL,BRASIL,2018,820 - LITERATURA INGLESA E INGLESA ANTIGUA,2.0
HOJAS DEL SUR,EDITORIAL COMERCIAL,ARGENTINA,2012,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2.0
HOJAS DEL SUR S.A.,EDITORIAL COMERCIAL,ARGENTINA,2019,800 - LITERATURA Y RETÓRICA: GENERAL,5.0
HOLTZBRINCK,EDITORIAL COMERCIAL,ARGENTINA,2015,820 - LITERATURA INGLESA E INGLESA ANTIGUA,3.0
HOLTZBRINCK,EDITORIAL COMERCIAL,ARGENTINA,2015,840 - LITERATURA DE LAS LENGUAS ROMANCES,3.0
HOLTZBRINCK,EDITORIAL COMERCIAL,ARGENTINA,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
HOLTZBRINCK,EDITORIAL COMERCIAL,ARGENTINA,2016,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
HOLTZBRINCK,EDITORIAL COMERCIAL,ARGENTINA,2017,800 - LITERATURA Y RETÓRICA: GENERAL,8.0
HOMEOBRAS,EDITORIAL COMERCIAL,BRASIL,2022,890 - LITERATURAS DE OTRAS LENGUAS,1.0
HORSON EDICIONES ESCOLARES,EDITORIAL COMERCIAL,MÉXICO,2015,800 - LITERATURA Y RETÓRICA: GENERAL,2.0
HORSON EDICIONES ESCOLARES,EDITORIAL COMERCIAL,MÉXICO,2016,800 - LITERATURA Y RETÓRICA: GENERAL,6.0
HORSON EDICIONES ESCOLARES,EDITORIAL COMERCIAL,MÉXICO,2016,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
HORSON EDICIONES ESCOLARES,EDITORIAL COMERCIAL,MÉXICO,2018,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
HUB EDITORIAL,EDITORIAL COMERCIAL,ARGENTINA,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
HUCITEC EDITORA LTDA,EDITORIAL COMERCIAL,BRASIL,2014,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",1.0
HUERTA Y CONTRERAS LTDA.,EDITORIAL COMERCIAL,CHILE,2016,820 - LITERATURA INGLESA E INGLESA ANTIGUA,2.0
HUERTA Y CONTRERAS LTDA.,EDITORIAL COMERCIAL,CHILE,2016,840 - LITERATURA DE LAS LENGUAS ROMANCES,1.0
HUERTA Y CONTRERAS LTDA.,EDITORIAL COMERCIAL,CHILE,2016,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",1.0
HUERTA Y CONTRERAS LTDA.,EDITORIAL COMERCIAL,CHILE,2016,890 - LITERATURAS DE OTRAS LENGUAS,2.0
HUESOS DE JIBIA,EDITORIAL COMERCIAL,ARGENTINA,2012,820 - LITERATURA INGLESA E INGLESA ANTIGUA,1.0
HUESOS DE JIBIA,EDITORIAL COMERCIAL,ARGENTINA,2015,840 - LITERATURA DE LAS LENGUAS ROMANCES,2.0
HUESOS DE JIBIA,EDITORIAL COMERCIAL,ARGENTINA,2017,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
HUMANIDADES EDITORA E PROJETOS LTDA,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,5.0
HUMANIDADES EDITORA E PROJETOS LTDA,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,17.0
HUNTER BOOKS EDITORA E DISTRIBUIDORA DE LIVROS LTDA,EDITORIAL COMERCIAL,BRASIL,2011,SIN DATO,4.0
HUNTER BOOKS EDITORA E DISTRIBUIDORA DE LIVROS LTDA,EDITORIAL COMERCIAL,BRASIL,2012,SIN DATO,2.0
HUNTER BOOKS EDITORA E DISTRIBUIDORA DE LIVROS LTDA,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
HUNTER BOOKS EDITORA E DISTRIBUIDORA DE LIVROS LTDA,EDITORIAL COMERCIAL,BRASIL,2016,820 - LITERATURA INGLESA E INGLESA ANTIGUA,2.0
IAMIQUE,EDITORIAL COMERCIAL,ARGENTINA,2016,800 - LITERATURA Y RETÓRICA: GENERAL,2.0
IBALPE.COM,EDITORIAL COMERCIAL,MÉXICO,2010,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
IBIS LIBRIS EDITORA LTDA. - ME,EDITORIAL COMERCIAL,BRASIL,2022,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
IBIS LIBRIS EDITORA LTDA. - ME,EDITORIAL COMERCIAL,BRASIL,2023,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
IBIS LIBRIS EDITORA LTDA. - ME,EDITORIAL COMERCIAL,BRASIL,2024,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",2.0
IBIS LIBRIS EDITORA LTDA. - ME,EDITORIAL COMERCIAL,BRASIL,2024,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
IBIS LIBRIS EDITORES LTDA,EDITORIAL COMERCIAL,BRASIL,2015,840 - LITERATURA DE LAS LENGUAS ROMANCES,1.0
IBIS LIBRIS EDITORES LTDA,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,4.0
IBIS LIBRIS EDITORES LTDA,EDITORIAL COMERCIAL,BRASIL,2015,890 - LITERATURAS DE OTRAS LENGUAS,4.0
IBIS LIBRIS EDITORES LTDA,EDITORIAL COMERCIAL,BRASIL,2017,820 - LITERATURA INGLESA E INGLESA ANTIGUA,1.0
IBIS LIBRIS EDITORES LTDA,EDITORIAL COMERCIAL,BRASIL,2017,840 - LITERATURA DE LAS LENGUAS ROMANCES,1.0
IBIS LIBRIS EDITORES LTDA,EDITORIAL COMERCIAL,BRASIL,2018,820 - LITERATURA INGLESA E INGLESA ANTIGUA,2.0
IBIS LIBRIS EDITORES LTDA,EDITORIAL COMERCIAL,BRASIL,2018,840 - LITERATURA DE LAS LENGUAS ROMANCES,1.0
ICONE EDITORA LTDA,EDITORIAL COMERCIAL,BRASIL,2010,SIN DATO,13.0
ICONE EDITORA LTDA,EDITORIAL COMERCIAL,BRASIL,2011,SIN DATO,2.0
ICONE EDITORA LTDA,EDITORIAL COMERCIAL,BRASIL,2012,SIN DATO,4.0
ICONO EDITORIAL S.A.S.,EDITORIAL COMERCIAL,COLOMBIA,2013,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
ICONO EDITORIAL S.A.S.,EDITORIAL COMERCIAL,COLOMBIA,2014,800 - LITERATURA Y RETÓRICA: GENERAL,2.0
ICONO EDITORIAL S.A.S.,EDITORIAL COMERCIAL,COLOMBIA,2017,820 - LITERATURA INGLESA E INGLESA ANTIGUA,1.0
ICONO EDITORIAL S.A.S.,EDITORIAL COMERCIAL,COLOMBIA,2017,840 - LITERATURA DE LAS LENGUAS ROMANCES,1.0
ICONO EDITORIAL S.A.S.,EDITORIAL COMERCIAL,COLOMBIA,2017,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
IDEA EDITORA LTDA,EDITORIAL COMERCIAL,BRASIL,2010,SIN DATO,1.0
IDEA EDITORA LTDA,EDITORIAL COMERCIAL,BRASIL,2011,SIN DATO,2.0
IDEA EDITORA LTDA,EDITORIAL COMERCIAL,BRASIL,2012,SIN DATO,1.0
IDEA EDITORA LTDA,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2.0
IDEA EDITORA LTDA,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
IDEIA EDITORA LTDA,EDITORIAL COMERCIAL,BRASIL,2018,870 - LITERATURAS LATINAS E ITALIANAS,2.0
IDEIA EDITORA LTDA.,EDITORIAL COMERCIAL,BRASIL,2014,080 - COLECCIONES GENERALES,1.0
IDEIA EDITORA LTDA.,EDITORIAL COMERCIAL,BRASIL,2014,820 - LITERATURA INGLESA E INGLESA ANTIGUA,1.0
IDEIA EDITORA LTDA.,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,6.0
IDEIA EDITORA LTDA.,EDITORIAL COMERCIAL,BRASIL,2015,800 - LITERATURA Y RETÓRICA: GENERAL,2.0
IDEIA EDITORA LTDA.,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,6.0
IDEIA EDITORA LTDA.,EDITORIAL COMERCIAL,BRASIL,2015,890 - LITERATURAS DE OTRAS LENGUAS,1.0
IDEIA EDITORA LTDA.,EDITORIAL COMERCIAL,BRASIL,2016,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2.0
IDEIA EDITORA LTDA.,EDITORIAL COMERCIAL,BRASIL,2016,870 - LITERATURAS LATINAS E ITALIANAS,1.0
IDEIA EDITORA LTDA.,EDITORIAL COMERCIAL,BRASIL,2017,890 - LITERATURAS DE OTRAS LENGUAS,1.0
IESDE,EDITORIAL COMERCIAL,BRASIL,2013,890 - LITERATURAS DE OTRAS LENGUAS,12.0
IESDE,EDITORIAL COMERCIAL,BRASIL,2014,890 - LITERATURAS DE OTRAS LENGUAS,8.0
IFRS - CAMPUS PORTO ALEGRE - RESTINGA,EDITORIAL UNIVERSITARIA,BRASIL,2015,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
IGREJA CRISTA EVANGELICA DO BRASIL,EDITORIAL COMERCIAL,BRASIL,2011,SIN DATO,2.0
ILELIS EDITORA E AGENCIA LITERARIA LTDA-ME,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,3.0
ILEX EDITORA E PRODUTORA DE AUDIOVISUAIS LTDA.,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
ILION EDITORA LTDA - ME,EDITORIAL COMERCIAL,BRASIL,2011,SIN DATO,3.0
IMAGINANTE,EDITORIAL COMERCIAL,ARGENTINA,2017,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
IMAGINE EDITORIAL,EDITORIAL COMERCIAL,EL SALVADOR,2020,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2.0
IMAGO EDITORA IMPORTACAO E EXPORTACAO LTDA,EDITORIAL COMERCIAL,BRASIL,2010,SIN DATO,2.0
IMAGO EDITORA IMPORTACAO E EXPORTACAO LTDA,EDITORIAL COMERCIAL,BRASIL,2011,SIN DATO,2.0
IMAGO EDITORA IMPORTACAO E EXPORTACAO LTDA,EDITORIAL COMERCIAL,BRASIL,2012,SIN DATO,1.0
IMAGO EDITORA IMPORTACAO E EXPORTACAO LTDA,EDITORIAL COMERCIAL,BRASIL,2013,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
IMPALA BOOKS BRASIL LTDA,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
IMPALA COMUNICACION GRAFICA,EDITORIAL COMERCIAL,MÉXICO,2024,820 - LITERATURA INGLESA E INGLESA ANTIGUA,5.0
IMPALA COMUNICACION GRAFICA,EDITORIAL COMERCIAL,MÉXICO,2024,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,1.0
