GRUPO_EDITORIAL_COMPLETO,TIPO_AGENTE,PAIS,ANO,SUBCATEGORIA.DEWEY,CANTIDAD_REGISTROS
ABRIL EDUCACAO S. A.,EDITORIAL COMERCIAL,BRASIL,2013,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2.0
ABRIL EDUCACAO S. A.,EDITORIAL COMERCIAL,BRASIL,2014,820 - LITERATURA INGLESA E INGLESA ANTIGUA,1.0
ABRIL EDUCACAO S. A.,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,7.0
ABRIL EDUCACAO S. A.,EDITORIAL COMERCIAL,BRASIL,2014,890 - LITERATURAS DE OTRAS LENGUAS,1.0
ABRIL EN LOS ARBOLES E.I.R.L.,EDITORIAL COMERCIAL,PERÚ,2019,840 - LITERATURA DE LAS LENGUAS ROMANCES,1.0
ABRIL S/A,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,94.0
ABRIL S/A,EDITORIAL COMERCIAL,BRASIL,2016,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,13.0
ABRIL S/A,EDITORIAL COMERCIAL,BRASIL,2017,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,37.0
ABSTRACCIONES CONCRETAS SPA,EDITORIAL UNIVERSITARIA,CHILE,2024,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
ABX AQUINO PRODUCOES E EDICOES,EDITORIAL COMERCIAL,BRASIL,2023,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
AC FARMACEUTICA LTDA,EDITORIAL COMERCIAL,BRASIL,2011,SIN DATO,1.0
ACAO SOCIAL CLARETIANA,EDITORIAL COMERCIAL,BRASIL,2010,SIN DATO,1.0
ACAO SOCIAL CLARETIANA,EDITORIAL COMERCIAL,BRASIL,2011,SIN DATO,4.0
ACAO SOCIAL CLARETIANA,EDITORIAL COMERCIAL,BRASIL,2012,SIN DATO,26.0
ACCESS EDITORA E COMERCIO DE LIVROS LTDA,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2.0
ACCESS EDITORA E COMERCIO DE LIVROS LTDA,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
ACHAWATA S.A C.,EDITORIAL COMERCIAL,PERÚ,2025,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
ACONCHEGO EDICOES MUSICAIS LTDA-ME,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
ACTION EDITORA LTDA,EDITORIAL COMERCIAL,BRASIL,2011,SIN DATO,1.0
ACTIVIDADES DE EDICION ALDO ANDRES ASTETE CUADRA EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA - AUSTROBOREA EDITORES,EDITORIAL COMERCIAL,CHILE,2015,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
ACTIVIDADES DE EDICION CELINE RIPOLL EIRL - MOAI EDITIONS,EDITORIAL COMERCIAL,CHILE,2018,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
